trial_number,stim_type,tone,intensity,expectation,prob_hightone_sad,gender,block_index,response_duration,predict_response_time,predict_response,predict_result,response_response_time,response_response,response_result,reward
21,angry,low,high,1,0.9,M,1,0.8,0.0717000000001917,angry,1,0.0887999999998783,angry,1.0,63
22,sad,high,low,1,0.9,F,1,0.8,0.0430000000000063,sad,1,0.2533000000003085,sad,1.0,42
23,angry,high,high,0,0.9,M,1,0.8,0.2860000000000582,sad,0,0.2308999999999059,sad,0.0,-50
24,sad,high,low,1,0.9,F,1,0.8,6.078300000000354,sad,1,0.3718999999999823,sad,1.0,27
25,angry,low,high,1,0.9,F,1,0.8,0.3967999999997573,angry,1,0.4529000000003407,angry,1.0,17
26,sad,high,low,1,0.9,M,1,0.8,0.0687999999997828,sad,1,0.2076000000000704,sad,1.0,48
27,angry,low,high,1,0.9,F,1,0.8,0.4311999999996487,angry,1,0.4201000000000476,angry,1.0,22
28,angry,low,high,1,0.9,M,1,0.8,0.3952999999999065,angry,1,0.2033999999998741,angry,1.0,48
29,sad,high,high,1,0.9,F,1,0.8,0.3862000000002581,sad,1,0.4125000000000227,sad,1.0,23
30,angry,low,low,1,0.9,M,1,0.8,0.3097999999997682,angry,1,0.2379999999999427,angry,1.0,44
31,sad,low,low,0,0.1,M,2,0.8,0.2476999999997815,angry,0,0.3023999999999205,angry,0.0,-50
32,sad,low,high,0,0.1,F,2,0.8,0.324699999999666,angry,0,0.4157000000001289,sad,1.0,21
33,angry,high,low,0,0.1,M,2,0.8,0.3808999999998832,sad,0,0.2495000000000118,sad,0.0,-50
34,sad,low,high,0,0.1,M,2,0.8,0.4817999999997937,sad,1,0.4199999999999591,sad,1.0,22
35,angry,high,low,0,0.1,F,2,0.8,0.2964999999999236,angry,1,0.2186000000001513,angry,1.0,48
36,sad,low,high,0,0.1,M,2,0.8,0.2242000000002235,sad,1,0.2158000000002857,sad,1.0,48
37,angry,high,low,0,0.1,F,2,0.8,0.1200000000000045,angry,1,0.2487999999998464,angry,1.0,44
38,sad,low,high,0,0.1,M,2,0.8,0.2137999999997646,sad,1,0.2162999999998192,sad,1.0,48
39,angry,high,high,0,0.1,F,2,0.8,0.3045000000000755,angry,1,0.3029999999999972,angry,1.0,37
40,sad,low,low,0,0.1,M,2,0.8,0.1358999999999923,sad,1,0.2321000000000594,sad,1.0,46
41,sad,low,low,0,0.1,F,2,0.8,0.1192000000002053,sad,1,0.2319999999999709,sad,1.0,46
42,angry,high,high,0,0.1,M,2,0.8,0.0782999999997855,angry,1,0.3363999999999123,angry,1.0,33
43,sad,high,high,1,0.1,F,2,0.8,0.3246000000001459,sad,1,0.2266000000001895,sad,1.0,46
44,angry,high,low,0,0.1,M,2,0.8,0.1807999999997491,sad,0,0.3187999999997828,sad,0.0,-50
45,sad,high,low,1,0.1,F,2,0.8,0.5935999999995829,angry,0,0.2158999999999196,angry,0.0,-50
46,sad,low,high,0,0.1,F,2,0.8,0.4477999999998019,angry,0,0.6197999999998274,sad,1.0,-3
47,angry,high,low,0,0.1,M,2,0.8,0.372899999999845,angry,1,0.3663000000003649,angry,1.0,29
48,sad,low,high,0,0.1,F,2,0.8,0.3258000000002994,sad,1,0.3490000000000464,sad,1.0,31
49,angry,high,low,0,0.1,M,2,0.8,0.5144999999999982,angry,1,0.2208000000002812,angry,1.0,47
50,sad,low,low,0,0.1,F,2,0.8,0.3304999999998017,sad,1,0.5723999999997886,sad,1.0,3
51,angry,high,low,0,0.1,F,2,0.8,0.0809000000003834,angry,1,0.2164000000000214,angry,1.0,48
52,sad,low,low,0,0.1,F,2,0.8,0.1210000000000945,sad,1,0.1491000000003168,sad,1.0,56
53,sad,low,high,0,0.1,M,2,0.8,0.3354000000003907,sad,1,0.3710000000000946,sad,1.0,28
54,angry,high,low,0,0.1,M,2,0.8,0.3820000000000618,angry,1,0.1033999999997377,angry,1.0,62
